"filename", "language", "C++", "JSON", "C", "Markdown", "reStructuredText", "Objective-C", "GLSL", "Ini", "comment", "blank", "total"
"e:\work\2401\OsgCityScape\Examples\HighlightArea\HighlightArea.cpp", "C++", 187, 0, 0, 0, 0, 0, 0, 0, 24, 31, 242
"e:\work\2401\OsgCityScape\Examples\Portal2D\Portal2D.cpp", "C++", 125, 0, 0, 0, 0, 0, 0, 0, 14, 17, 156
"e:\work\2401\OsgCityScape\Examples\RoadFX\RoadFX.cpp", "C++", 201, 0, 0, 0, 0, 0, 0, 0, 27, 31, 259
"e:\work\2401\OsgCityScape\Examples\Test\RTTCameraTest.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 10
"e:\work\2401\OsgCityScape\Examples\osgSSBO\osgSSBO.cpp", "C++", 675, 0, 0, 0, 0, 0, 0, 0, 41, 231, 947
"e:\work\2401\OsgCityScape\Examples\osgoutline\osgoutline.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 8, 7, 60
"e:\work\2401\OsgCityScape\Examples\osgpick\osgpick.cpp", "C++", 241, 0, 0, 0, 0, 0, 0, 0, 38, 70, 349
"e:\work\2401\OsgCityScape\Examples\osgsimplegl3\osgsimplegl3.cpp", "C++", 119, 0, 0, 0, 0, 0, 0, 0, 21, 9, 149
"e:\work\2401\OsgCityScape\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\Camera.h", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 38, 21, 126
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\Component.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 7, 5, 41
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\ComponentFactory.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\CompositeMesh\HighlightArea.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\CompositeMesh\Road.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 5, 6, 42
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\Material.h", "C++", 76, 0, 0, 0, 0, 0, 0, 0, 8, 10, 94
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\Mesh.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\ModelMesh.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\ProceduralMesh.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\Shader.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Components\Transform.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Level.h", "C++", 68, 0, 0, 0, 0, 0, 0, 0, 6, 24, 98
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\Object.h", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 1, 11, 92
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\ObjectIDAllocator.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"e:\work\2401\OsgCityScape\Sources\include\Core\ECS\WorldManager.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 3, 10, 44
"e:\work\2401\OsgCityScape\Sources\include\Core\Event.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
